date,state,positive,negative,hospitalizedCurrently,hospitalizedCumulative,recovered,death,hospitalized,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease
20200309,PA,10,,,,,,,,,,,,42,4,0,10,10,4,10,0,0
20200309,RI,4,82,,,,,,4,85,4,,,44,1,15,92,86,16,86,0,0
20200309,SC,7,24,,,,,,,,,,,45,5,16,31,31,21,31,0,0
20200309,SD,0,5,,,,,,,,,,,46,0,0,5,5,0,5,0,0
20200309,TN,3,,,,,,,,,,,,47,0,0,3,3,0,3,0,0
20200309,TX,12,,,,,,,,,12,,,48,4,0,12,12,4,12,0,0
20200309,UT,1,,,,,,,,,1,,,49,0,0,1,1,0,1,0,0
20200309,VA,3,38,,,,,,,,,,,51,1,2,50,41,3,41,0,0
20200309,VT,1,36,,,,,,,,,,,50,0,6,37,37,6,37,0,0
20200309,WA,1237,2592,,,,35,,,,378,,,53,172,852,3829,3829,1024,3829,4,0
20200309,WI,1,36,,,,,,,,1,,,55,0,5,37,37,5,37,0,0
20200309,WV,0,2,,,,,,,,,,,54,0,0,5,2,0,2,0,0
20200309,WY,0,,,,,,,,,,,,56,0,0,0,0,0,0,0,0
20200310,AK,0,23,,,,0,,,,0,,,2,0,0,32,23,0,23,0,0
20200310,AL,0,0,,,,,,,,0,,,1,0,0,0,0,0,0,0,0
20200310,AR,0,12,,,,,,,,0,,,5,0,0,15,12,0,12,0,0
20200310,AZ,6,51,,8,,,8,,,,,,4,1,7,84,57,8,57,0,0
20200310,CA,133,690,,,,,,,,,,,6,19,0,823,823,19,823,0,0
20200310,CO,12,142,,,,,,,,,,,8,3,9,155,154,12,154,0,0
20200310,CT,2,54,,,,,,,,,,,9,1,8,56,56,9,56,0,0
20200310,DC,5,17,,,,,,,,,,,11,4,3,24,22,7,22,0,0
20200310,DE,0,17,,,,0,,,,,0,0,10,0,2,20,17,2,17,0,0
20200310,FL,19,222,,,,,,,,,,,12,1,82,396,241,83,241,0,0
20200310,GA,17,,,,,,,,,,,,13,5,0,17,17,5,17,0,0
20200310,HI,2,,,,,,,,,,,,15,0,0,2,2,0,2,0,0
20200310,IA,8,32,,,,,,,,8,,,19,5,6,51,40,11,40,0,0
20200310,ID,0,41,,,,,,,,,,,16,0,0,41,41,0,41,0,0
20200310,IL,19,244,,,,,,,,,,,17,12,53,326,263,65,263,0,0
20200310,IN,6,30,,,,,,,,,,,18,4,30,36,36,34,36,0,0
20200310,KS,1,17,,,,,,,,,,,20,0,6,39,18,6,18,0,0
20200310,KY,6,28,,,,,,,,,,,21,2,11,34,34,13,34,0,0
20200310,LA,1,11,,,,,,,,,,,22,0,6,12,12,6,12,0,0
20200310,MD,6,89,,,,,,,,6,,,24,1,16,95,95,17,95,0,0
20200310,ME,0,20,,,,,,,,,,,23,0,19,25,20,19,20,0,0
20200310,MI,358,39,,,,,,,,528,0,0,26,104,3,421,397,107,397,0,0
20200310,MN,11,132,,,,,,,,11,,,27,6,52,143,143,58,143,0,0
20200310,MO,1,,,,,,,8,34,,,,29,0,0,1,1,0,1,0,0
20200310,MS,0,,,,,,,,,,,,28,0,0,0,0,0,0,0,0
20200310,MT,0,15,,,,,,,,,,,30,0,4,15,15,4,15,0,0
20200310,NC,7,,,,,,,,,,,,37,5,0,7,7,5,7,0,0
20200310,ND,0,6,,,,,,,,,,,38,0,6,8,6,6,6,0,0
20200310,NE,3,47,,,,,,,,,,,31,0,11,66,50,11,50,0,0
20200310,NH,4,38,,,,,,,,,,,33,0,0,47,42,0,42,0,0
20200310,NJ,15,44,,,,,,,,,,,34,4,9,79,59,13,59,0,0
20200310,NM,0,69,,,,,,,,,,,35,0,12,69,69,12,69,0,0
20200310,NV,1,14,,,,0,,,,,,,32,0,0,15,15,0,15,0,0
20200310,NY,173,92,,,,,,,,,,,36,31,0,265,265,31,265,0,0
20200310,OH,3,14,,,,,,,,3,,,39,0,3,32,17,3,17,0,0
20200310,OK,2,15,,,,,,,,,,,40,1,7,28,17,8,17,0,0
20200310,OR,15,213,,,,,,,,,,,41,1,48,295,228,49,228,0,0
20200310,PA,12,,,,,,,,,,,,42,2,0,12,12,2,12,0,0
20200310,RI,5,105,,,,,,6,110,5,,,44,1,23,116,110,24,110,0,0
20200310,SC,7,24,,,,,,,,,,,45,0,0,31,31,0,31,0,0
20200310,SD,0,11,,,,,,,,,,,46,0,6,11,11,6,11,0,0
20200310,TN,7,,,,,,,,,,,,47,4,0,7,7,4,7,0,0
20200310,TX,13,,,,,,,,,13,,,48,1,0,13,13,1,13,0,0
20200310,UT,2,,,,,,,,,2,,,49,1,0,2,2,1,2,0,0
20200310,VA,8,53,,,,,,,,,,,51,5,15,61,61,20,61,0,0
20200310,VT,1,60,,,,,,,,,,,50,0,24,61,61,24,61,0,0
20200310,WA,1453,4160,,,,37,,,,488,,,53,216,1568,5613,5613,1784,5613,2,0
20200310,WI,2,36,,,,,,,,2,,,55,1,0,38,38,1,38,0,0
20200310,WV,0,2,,,,,,,,,,,54,0,0,5,2,0,2,0,0
20200310,WY,0,0,,,,,,,,,,,56,0,0,0,0,0,0,0,0
20200311,AK,0,46,,,,0,,,,0,,,2,0,23,60,46,23,46,0,0
20200311,AL,0,10,,,,,,,,0,,,1,0,10,10,10,10,10,0,0
20200311,AR,0,12,,,,,,,,0,,,5,0,0,26,12,0,12,0,0
20200311,AZ,9,59,,11,,,11,,,,,,4,3,8,100,68,11,68,0,3
20200311,CA,157,916,,,,,,,,,,,6,24,226,1073,1073,250,1073,0,0
20200311,CO,28,251,,,,,,,,,,,8,16,109,279,279,125,279,0,0
20200311,CT,3,71,,,,,,,,,,,9,1,17,74,74,18,74,0,0
20200311,DC,5,20,,,,,,,,,,,11,0,3,40,25,3,25,0,0
20200311,DE,1,17,,,,0,,,,,0,0,10,1,0,20,18,1,18,0,0
20200311,FL,28,301,,,,2,,,,,,,12,9,79,476,329,88,329,2,0
20200311,GA,22,,,,,,,,,,,,13,5,0,22,22,5,22,0,0
20200311,HI,2,,,,,,,,,,,,15,0,0,2,2,0,2,0,0
20200311,IA,13,46,,,,,,,,13,,,19,5,14,86,59,19,59,0,0
20200311,ID,0,67,,,,,,,,,,,16,0,26,67,67,26,67,0,0
20200311,IL,19,244,,,,,,,,,,,17,0,0,326,263,0,263,0,0
20200311,IN,10,33,,,,,,,,,,,18,4,3,43,43,7,43,0,0
20200311,KS,1,41,,,,,,,,,,,20,0,24,42,42,24,42,0,0
20200311,KY,8,46,,,,,,,,,,,21,2,18,54,54,20,54,0,0
20200311,LA,6,37,,,,,,,,,,,22,5,26,43,43,31,43,0,0
20200311,MD,9,94,,,,,,,,9,,,24,3,5,103,103,8,103,0,0
20200311,ME,0,42,,,,,,,,,,,23,0,22,47,42,22,42,0,0
20200311,MI,497,57,,,,,,,,727,0,0,26,139,18,572,554,157,554,0,0
20200311,MN,21,217,,,,,,,,21,,,27,10,85,238,238,95,238,0,0
20200311,MO,1,,,,,,,8,46,,,,29,0,0,1,1,0,1,0,0
20200311,MS,0,20,,,,,,,,,,,28,0,20,20,20,20,20,0,0
20200311,MT,0,21,,,,,,,,,,,30,0,6,21,21,6,21,0,0
